KOL_ID,Platform,Account_Name,Followers_K,Engagement_Rate,Assigned_Code,Cash_Reward_CNY,Bonus_Structure,Contact_Method,Email_Or_Username,Status,Code_Used,Clicks,Registrations,Paid_Conversions,Notes
TK013,TikTok,@tarot.class,44,6.2%,TK013_WLCJ5F,299,"邀请3用户→¥99代金",DM,tiktok.com/tarot.class,待联系,N,0,0,0,"塔罗教室"
TK014,TikTok,@divination.pro,33,8.7%,TK014_GNBV8P,199,"邀请3用户→¥99代金",DM,tiktok.com/divination.pro,待联系,N,0,0,0,"占卜师 高互动"
TK015,TikTok,@astrology.pro,48,5.5%,TK015_ZEQL2D,299,"邀请3用户→¥99代金",DM,tiktok.com/astrology.pro,待联系,N,0,0,0,"占星学者 大号"
TK016,TikTok,@numerology.hub,26,7.9%,TK016_HKMR6T,199,"邀请3用户→¥99代金",DM,tiktok.com/numerology.hub,待联系,N,0,0,0,"灵数师"
TK017,TikTok,@oracle.reads,37,6.8%,TK017_IJFX4C,199,"邀请3用户→¥99代金",DM,tiktok.com/oracle.reads,待联系,N,0,0,0,"卡牌博主"
TK018,TikTok,@chakra.healer,21,8.3%,TK018_ASPN7E,199,"邀请3用户→¥99代金",DM,tiktok.com/chakra.healer,待联系,N,0,0,0,"能量师 纳米"
TK019,TikTok,@celestial.guide,55,5.1%,TK019_RVGY3G,299,"邀请3用户→¥99代金",DM,tiktok.com/celestial.guide,待联系,N,0,0,0,"占星达人 大号"
TK020,TikTok,@artistic.tarot,39,7.6%,TK020_UWKM5B,199,"邀请3用户→¥99代金",DM,tiktok.com/artistic.tarot,待联系,N,0,0,0,"塔罗艺术家"
XHS001,小红书,@紫微命理档案馆,12,2.8K,XHS001_NQJH8V,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user1,待邮件,N,0,0,0,"纳米博主 命理科普"
XHS002,小红书,@八字姑娘,8.5,1.5K,XHS002_PBVW4K,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user2,待邮件,N,0,0,0,"纳米 八字解读"
XHS003,小红书,@星座研究小分队,9.2,1.8K,XHS003_TDMS9L,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user3,待邮件,N,0,0,0,"占星笔记"
XHS004,小红书,@塔罗每日一读,7.8,1.2K,XHS004_ZRFP2H,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user4,待邮件,N,0,0,0,"塔罗日常 纳米"
XHS005,小红书,@灵性女孩养成记,10.5,2.1K,XHS005_WXYC6A,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user5,待邮件,N,0,0,0,"灵性生活"
XHS006,小红书,@数字能量密码,6.3,0.95K,XHS006_LJBK3E,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user6,待邮件,N,0,0,0,"命数解码 超纳米"
XHS007,小红书,@十二星座大百科,14.2,3.2K,XHS007_UGHM7D,代金199,"邀请5用户→¥199代金",EMAIL,xiaohongshu.com/user7,待邮件,N,0,0,0,"星座知识 腰部账号"
XHS008,小红书,@冥想女孩日记,5.9,0.89K,XHS008_SCVP5Q,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user8,待邮件,N,0,0,0,"冥想笔记 纳米"
XHS009,小红书,@晶石能量生活,11.3,2.4K,XHS009_KNEF1Y,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user9,待邮件,N,0,0,0,"能量疗愈"
XHS010,小红书,@卡牌艺术工坊,8.7,1.6K,XHS010_ITDR8M,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user10,待邮件,N,0,0,0,"卡牌艺术"
XHS011,小红书,@占卜思维笔记,7.2,1.1K,XHS011_OXLJ4G,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user11,待邮件,N,0,0,0,"占卜文化"
XHS012,小红书,@星座趣味研究所,9.8,1.9K,XHS012_FSBN9W,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user12,待邮件,N,0,0,0,"星座趣事"
XHS013,小红书,@生命灵数大师,6.8,1.3K,XHS013_CEHA2P,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user13,待邮件,N,0,0,0,"灵数预测"
XHS014,小红书,@风水开运秘笈,13.1,2.9K,XHS014_RGYK6T,代金199,"邀请5用户→¥199代金",EMAIL,xiaohongshu.com/user14,待邮件,N,0,0,0,"风水命理 腰部"
XHS015,小红书,@塔罗人生方向盘,7.5,1.4K,XHS015_VMQD3J,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user15,待邮件,N,0,0,0,"塔罗人生"
XHS016,小红书,@八字学习营,9.1,1.7K,XHS016_QWTC7S,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user16,待邮件,N,0,0,0,"八字进阶"
XHS017,小红书,@占星生活指南,10.6,2.2K,XHS017_LPBF5X,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user17,待邮件,N,0,0,0,"占星生活"
XHS018,小红书,@能量晨间冥想,6.2,0.92K,XHS018_YKNG1Z,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user18,待邮件,N,0,0,0,"能量冥想 纳米"
XHS019,小红书,@命理故事会,8.4,1.5K,XHS019_AFHM8U,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user19,待邮件,N,0,0,0,"命理故事"
XHS020,小红书,@星座秘密档案,11.8,2.5K,XHS020_DSPR4O,代金199,"邀请5用户→¥199代金",EMAIL,xiaohongshu.com/user20,待邮件,N,0,0,0,"星座秘密 腰部"
XHS021,小红书,@塔罗智慧殿堂,7.9,1.5K,XHS021_EWJL6C,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user21,待邮件,N,0,0,0,"塔罗智慧"
XHS022,小红书,@灵性探索笔记本,9.3,1.8K,XHS022_HRXB2V,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user22,待邮件,N,0,0,0,"灵性探索"
XHS023,小红书,@数字与命运,6.9,1.2K,XHS023_IMKF9D,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user23,待邮件,N,0,0,0,"数字能量"
XHS024,小红书,@冥想疗愈空间,10.2,2.0K,XHS024_JNPG3F,代金99,"邀请3用户→¥99代金",EMAIL,xiaohongshu.com/user24,待邮件,N,0,0,0,"冥想疗愈"
XHS025,小红书,@占星文化推广,12.5,2.6K,XHS025_KSLT7B,代金199,"邀请5用户→¥199代金",EMAIL,xiaohongshu.com/user25,待邮件,N,0,0,0,"占星文化 腰部"
YT001,YouTube,Spiritual Reads Daily,87,8.2%,YT001_MRQX8P,299,"邀请3用户→¥99代金",EMAIL,youtube.com/@spiritualreadsdaily,待邮件,N,0,0,0,"87K粉 月120万观看"
YT002,YouTube,Astrology Unveiled,54,6.5%,YT002_VHZK4D,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@astrologyunveiled,待邮件,N,0,0,0,"54K粉 月68万观看"
YT003,YouTube,Tarot for Everyone,63,7.1%,YT003_CWLU6J,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@tarotforeveryone,待邮件,N,0,0,0,"63K粉 月92万观看"
YT004,YouTube,Vedic Wisdom,41,5.8%,YT004_BFTG2S,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@vedicwisdom,待邮件,N,0,0,0,"41K粉 月48万观看"
YT005,YouTube,Chinese Astrology 101,76,9.1%,YT005_NYKD5W,299,"邀请5用户→¥199代金",EMAIL,youtube.com/@chineseastrology101,待邮件,N,0,0,0,"76K粉 月110万观看 高互动"
YT006,YouTube,Healing Energy Talks,38,7.8%,YT006_GPMJ9E,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@healingenergy,待邮件,N,0,0,0,"38K粉 月42万观看"
YT007,YouTube,Destiny Decoded,52,6.9%,YT007_SXAQ1R,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@destinydecoded,待邮件,N,0,0,0,"52K粉 月75万观看"
YT008,YouTube,Numerology Secrets,45,7.3%,YT008_TLMB7C,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@numerologysecrets,待邮件,N,0,0,0,"45K粉 月58万观看"
YT009,YouTube,Oracle Guidance Daily,33,8.0%,YT009_AJHV3N,199,"邀请3用户→¥99代金",EMAIL,youtube.com/@oracleguidance,待邮件,N,0,0,0,"33K粉 月35万观看 纳米"
YT010,YouTube,Cosmic Astrology,68,8.7%,YT010_ZYFC8G,299,"邀请5用户→¥199代金",EMAIL,youtube.com/@cosmicastrology,待邮件,N,0,0,0,"68K粉 月100万观看 高互动"
WX001,微信,命理文化传播,45K,8.2%,WX001_PXMS4T,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user1,待群聊,N,0,0,0,"45K订阅 8.2%打开率"
WX002,微信,星座运势播报,52K,9.1%,WX002_LHRB9K,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user2,待群聊,N,0,0,0,"52K订阅 9.1%打开率"
WX003,微信,塔罗占卜屋,38K,7.5%,WX003_UCFN6W,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user3,待群聊,N,0,0,0,"38K订阅 7.5%打开率"
WX004,微信,灵性生活方式,41K,8.8%,WX004_DGYP2J,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user4,待群聊,N,0,0,0,"41K订阅 8.8%打开率 超高"
WX005,微信,八字命理馆,35K,7.2%,WX005_AQVM7H,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user5,待群聊,N,0,0,0,"35K订阅 7.2%打开率"
WX006,微信,占星学堂,48K,8.9%,WX006_BKXR3D,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user6,待群聊,N,0,0,0,"48K订阅 8.9%打开率"
WX007,微信,数字能量密码,28K,6.5%,WX007_EFQW8L,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user7,待群聊,N,0,0,0,"28K订阅 6.5%打开率"
WX008,微信,冥想瑜伽馆,33K,7.8%,WX008_GHMZ5P,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user8,待群聊,N,0,0,0,"33K订阅 7.8%打开率"
WX009,微信,晶石能量馆,29K,6.9%,WX009_IJSX1V,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user9,待群聊,N,0,0,0,"29K订阅 6.9%打开率"
WX010,微信,卡牌人生智慧,42K,8.3%,WX010_KNBY4E,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user10,待群聊,N,0,0,0,"42K订阅 8.3%打开率"
WX011,微信,占卜文化研究,36K,7.6%,WX011_OCTZ6Y,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user11,待群聊,N,0,0,0,"36K订阅 7.6%打开率"
WX012,微信,命数解读,25K,6.2%,WX012_QFXW9S,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user12,待群聊,N,0,0,0,"25K订阅 6.2%打开率"
WX013,微信,星座大观,50K,9.0%,WX013_RMPD2A,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user13,待群聊,N,0,0,0,"50K订阅 9.0%打开率"
WX014,微信,塔罗每日问卦,31K,7.1%,WX014_SHVL5G,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user14,待群聊,N,0,0,0,"31K订阅 7.1%打开率"
WX015,微信,灵数人生,27K,6.3%,WX015_TJKM8U,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user15,待群聊,N,0,0,0,"27K订阅 6.3%打开率"
WX016,微信,占星指南针,44K,8.6%,WX016_UNHB3C,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user16,待群聊,N,0,0,0,"44K订阅 8.6%打开率"
WX017,微信,能量治愈馆,34K,7.4%,WX017_VQFR7O,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user17,待群聊,N,0,0,0,"34K订阅 7.4%打开率"
WX018,微信,八字学习营,39K,8.0%,WX018_WDGS2M,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user18,待群聊,N,0,0,0,"39K订阅 8.0%打开率"
WX019,微信,风水命理学,43K,8.5%,WX019_XZPK4I,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user19,待群聊,N,0,0,0,"43K订阅 8.5%打开率"
WX020,微信,占卜人生智慧,37K,7.7%,WX020_YJCX6F,199,"邀请3用户→¥99代金",WECHAT,mp.weixin.qq.com/user20,待群聊,N,0,0,0,"37K订阅 7.7%打开率"
