Index,Ref Code,Channel,Channel Name,Status,Created At,Used At,User Count,Notes
"25","WXD1Z8","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"26","WXP9W0","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"27","WXFV9U","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"28","WX12WA","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"29","WXDILO","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"30","WXK6J7","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"31","XHSY57K","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"32","XHSJNNO","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"33","XHS7GC5","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"34","XHSLAUH","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"35","XHSYCSN","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"36","XHSU167","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"37","XHSLI6F","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"38","XHSGGGN","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"39","XHS2VVB","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"40","XHSWJIW","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"41","XHSRZ16","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"42","XHS24ZW","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"43","XHS2X1S","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"44","XHS0UQP","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"45","XHS963X","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"46","XHSXBPM","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"47","XHSKA7A","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"48","XHSRL1H","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"49","XHS03BR","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"50","XHSP18B","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"51","XHSWRGE","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"52","XHS6EN8","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"53","XHS1MEI","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"54","XHSHZ4M","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"55","XHS56NE","xiaohongshu","小红书","active","2026-08-08T05:07:28.386Z","","0",""
"56","TKSQK1","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"57","TKX3GU","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"58","TKVI75","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"59","TKZ3NE","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"60","TK5WA2","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"61","TK0PSX","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"62","TKVB8G","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"63","TKV35P","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"64","TK3OIU","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"65","TK7A7F","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"66","TKW3DT","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"67","TKKUNM","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"68","TKWDIS","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"69","TKG4Q6","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"70","TKZDDV","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"71","TKPNVG","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"72","TKDK3I","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"73","TKLAC6","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"74","TKP541","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"75","TK3VGB","tiktok","TikTok","active","2026-08-08T05:07:28.386Z","","0",""
"76","YTU8KY","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"77","YT1RY2","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"78","YT7XB8","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"79","YT3HSQ","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"80","YTEZTL","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"81","YTZ8UC","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"82","YTS32H","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"83","YTEJ7S","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"84","YTFE58","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"85","YTN0Y6","youtube","YouTube","active","2026-08-08T05:07:28.386Z","","0",""
"86","ORGFSCH","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"87","ORGMKXU","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"88","ORG00I9","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"89","ORG5DIB","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"90","ORG8D7W","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"91","ORGUNCP","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"92","ORGNB1F","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"93","ORG42SK","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"94","ORG831J","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"95","ORGFKS9","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"96","ORGBZ6L","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"97","ORGHKFU","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"98","ORG4V2P","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"99","ORGMBHP","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
"100","ORGJJS6","organic","自然流量","active","2026-08-08T05:07:28.386Z","","0",""
